--env this_country
"AGO"
"BEN"
"BFA"
"BDI"
"CAF"
"CMR"
"COD"
"COG"
"COM"
"CIV"
"DJI"
"ERI"
"ETH"
"GAB"
"GHA"
"GIN"
"GMB"
"GNB"
"GNQ"
"KEN"
"LBR"
"MDG"
"MWI"
"MLI"
"MOZ"
"MRT"
"NER"
"NGA"
"RWA"
"SDN"
"SSD"
"SEN"
"SLE"
"SOM"
"TCD"
"TGO"
"TZA"
"UGA"
"ZWE"
"ZMB"
